"id","outcome","sample","model","n","term","est","se","lo","hi","p","note"
"G1","asthma","originally submitted: <=1.25 mi, missing values coded 0","OLS unweighted, conventional SE",2291,"original straight-line dist per mile",13.8482002147951,2.34708602394949,9.24555920847621,18.450841221114,4.17147294414622e-09,""
"G1","ami","originally submitted: <=1.25 mi, missing values coded 0","OLS unweighted, conventional SE",2291,"original straight-line dist per mile",2.13542231865111,0.418474296271778,1.31479327631636,2.95605136098586,0.000000362093478402295,""
"G1","asthma","originally submitted: all 2,343 tracts, missing values coded 0","OLS unweighted, conventional SE",2343,"original straight-line dist per mile",4.92787324326981,1.33926886841954,2.30159490340674,7.55415158313288,0.000238949136964576,""
"C9","asthma","as originally coded, <=1.0 mi","OLS unweighted",2237,"original straight-line dist per mile",13.988106697034,NA,NA,NA,NA,""
"C9","ami","as originally coded, <=1.0 mi","OLS unweighted",2237,"original straight-line dist per mile",2.08512201138602,NA,NA,NA,NA,""
"T3","asthma","primary","WLS bivariate",2305,"dist per mile",2.32865180941313,4.91568130518777,-7.3480338483555,12.0053374671818,0.636072082528572,""
"T3","ami","primary","WLS bivariate",2305,"dist per mile",-0.171284207325717,0.599644057273917,-1.35170390676086,1.00913549210943,0.775364177837769,""
"T3","pm25","primary","WLS bivariate",2305,"dist per mile",-1.06709569782129,0.209613478274726,-1.47972695134771,-0.654464444294863,0.000000658118332369919,""
"T3","ozone","primary","WLS bivariate",2305,"dist per mile",0.00795339420868876,0.000833054626651443,0.00631349787339371,0.00959329054398381,7.23803059526462e-19,""
"T3","poverty","primary","WLS bivariate",2305,"dist per mile",-5.54904220118058,1.84380634843081,-9.17863764072499,-1.91944676163618,0.00285632405703291,""
"T3u","asthma","primary","OLS bivariate unweighted (ZIP-clustered)",2305,"dist per mile",1.44883341438722,4.3078275452582,-7.03127146534693,9.92893829412138,0.736878941526045,""
"T3u","ami","primary","OLS bivariate unweighted (ZIP-clustered)",2305,"dist per mile",-0.199982145659563,0.526410412013794,-1.23623892631337,0.836274634994241,0.704311359099478,""
"T3u","pm25","primary","OLS bivariate unweighted (ZIP-clustered)",2305,"dist per mile",-0.93913764425469,0.136477276137912,-1.2077977990986,-0.67047748941078,3.93063933324526e-11,""
"T3u","ozone","primary","OLS bivariate unweighted (ZIP-clustered)",2305,"dist per mile",0.00639247217971124,0.000804975606609581,0.00480785034934321,0.00797709401007927,4.98592920320128e-14,""
"T3u","poverty","primary","OLS bivariate unweighted (ZIP-clustered)",2305,"dist per mile",-4.79582721826424,1.59739125655611,-7.94034617758907,-1.65130825893942,0.00292321400353253,""
"T3sl","asthma","primary","WLS bivariate, original straight-line measure",2305,"original straight-line dist per mile",10.7971264263252,6.04889128082811,-1.11032156889329,22.7045744215437,0.0753554393921754,""
"T3sl","ami","primary","WLS bivariate, original straight-line measure",2305,"original straight-line dist per mile",0.890929830078206,0.721769788905365,-0.529898521251307,2.31175818140772,0.218108048340881,""
"T3sl","pm25","primary","WLS bivariate, original straight-line measure",2305,"original straight-line dist per mile",-1.33881843213996,0.264565044726413,-1.85962371118626,-0.818013153093663,0.000000761535018766992,""
"T3sl","ozone","primary","WLS bivariate, original straight-line measure",2305,"original straight-line dist per mile",0.00892954084098442,0.00120757164173822,0.00655239503740998,0.0113066866445588,1.67684253323613e-12,""
"T3sl","poverty","primary","WLS bivariate, original straight-line measure",2305,"original straight-line dist per mile",-1.36829270512543,2.03612036534598,-5.37646482076699,2.63987941051613,0.502135591474041,""
"C8","poverty","all 2,343 tracts, as originally coded (missing poverty = 0)","OLS bivariate, conventional SE",2343,"original straight-line dist per mile",-3.29977319727209,0.961410635171608,-5.18507816512826,-1.41446822941592,0.000609057687698804,""
"C8","poverty","tracts with a reported poverty value","OLS bivariate, conventional SE",2305,"original straight-line dist per mile",-1.24473256494552,1.16988913914715,-3.53887884427234,1.0494137143813,0.287451658311679,""
"C8","poverty","as originally coded, tracts within 1.25 miles","OLS bivariate, conventional SE",2291,"original straight-line dist per mile",-3.11763689611289,1.8004606550869,-6.64834186532253,0.413068073096742,0.0834835737438802,""
"T4","asthma","primary","WLS (ZIP-clustered)",2305,"(Intercept)",104.895960778258,34.7279179331258,36.5328744583629,173.259047098153,0.00275823372238167,""
"T4","asthma","primary","weighted SEM queen",2305,"(Intercept)",57.0169314798339,25.7611896500637,6.52499976570907,107.508863193959,0.0268777975764294,""
"T4","asthma","primary","WLS (ZIP-clustered)",2305,"dist",4.3586158529102,2.39988668418745,-0.365642620200783,9.08287432602119,0.070420455096709,""
"T4","asthma","primary","weighted SEM queen",2305,"dist",-2.69773116647205,0.816678459942236,-4.29842094795884,-1.09704138498527,0.00095555267323356,""
"T4","asthma","primary","WLS (ZIP-clustered)",2305,"pm25",-5.49240753894721,2.6449213073419,-10.699024992701,-0.285790085193386,0.0387583260877177,""
