"variable","n","mean","sd","median","q1","q3","min","max","pop_weighted_mean"
"Mean street-network distance to three nearest parks (miles)",2305,0.722845409543623,0.456948573656557,0.641166835679631,0.473506596476577,0.84901301399825,0.080698719478247,8.19886425773483,0.717826432065314
"Walking time to three nearest parks at 3 mph (minutes)",2305,14.4569081908725,9.13897147313114,12.8233367135926,9.47013192953154,16.980260279965,1.61397438956494,163.977285154697,14.3565286413063
"Mean straight-line distance to three nearest parks, from tract centroid (miles)",2305,0.498667187527115,0.328666286534662,0.44417593,0.312405676666667,0.591798333333333,0.028104283333333,6.57969941666667,0.499622074836416
"Asthma ED visit rate (per 10,000)",2305,54.2228242950108,28.2341402085011,50.24,32.79,69.59,5.94,158.01,54.8177309311403
"AMI ED visit rate (per 10,000)",2305,14.0425856832972,4.76551969325033,13.36,10.42,17.38,3.87,27.88,14.1753605629455
"PM2.5 (ug/m3)",2305,11.6650581677367,0.973431219442211,11.91047843,11.63003614,12.07532049,5.78980373,14.60341571,11.6568076368463
"Ozone (ppm)",2305,0.0516668522472885,0.00813226513250349,0.04978792,0.04490202,0.05938691,0.03809217,0.0685917,0.0517363239338653
"Residents below twice the federal poverty level (%)",2305,35.129978308026,18.4566785669439,33.1,19.1,49.6,2.7,93.2,34.9022621271256
"Tract population",2305,4357.31019522777,1506.92593887277,4246,3251,5329,45,12463,4878.23721434545
"Population density (per sq mi)",2305,13579.663229682,11275.7538222826,10707.1194558609,6494.25513548544,17806.4835656632,3.71388658467872,94111.2149994554,13580.4182581718
