"geoid_2010","zip","population","network_dist_3parks_miles","mean_dist_3parks_miles","asthma_ed_per10k","ami_ed_per10k","pm25_ug_m3","ozone_ppm","poverty_pct_below_2x_fpl","ozone_ppm_ces3_2012_2014","land_area_sq_mi","in_primary","within_1p25mi"
"06037194102","90046",3189,1.25445585281953,0.341536473333333,19.95,9.72,11.55141434,0.05225601,20.6,0.051,1.35198974067491,1,1
"06037192002","90036",2597,0.463765981667064,0.367852863333333,25.11,10.71,11.76734525,0.04939042,20.2,0.048,0.331173717527221,1,1
"06037191902","90038",2788,0.9299596605822,0.67077729,37.5,11.19,11.89127311,0.04863521,18.1,0.048,0.280410835475225,1,1
"06037191901","90038",3060,0.492993418436332,0.431796616666667,40.28,10.1,11.89127311,0.04939042,31.7,0.05,0.298023240392405,1,1
"06037191302","90027",1947,0.58119395231846,0.44784377,47.59,14.15,12.03217459,0.04939042,47.5,0.048,0.163165654943489,1,1
"06037191301","90029",2224,0.610434437882765,0.42321928,70,18.14,12.03217459,0.04899293,48.1,0.048,0.104829363323216,1,1
"06037190802","90028",2982,0.35603947944007,0.266146536666667,53.48,13.5,11.90677464,0.04939042,49.7,0.05,0.187935256010114,1,1
"06037189905","90046",2432,0.425107994313211,0.312546133333333,27.24,13.36,11.7676418,0.05067132,28.4,0.05,0.0997587091181666,1,1
"06037189202","90027",2396,0.654776728903205,0.41620485,43.46,21.11,11.92720438,0.05022962,13,0.05,0.398139099244745,1,1
"06037189102","90027",3356,0.60155131531854,0.402429533333333,43.46,21.11,11.92720438,0.05022962,17.7,0.05,0.241349821656903,1,1
"06037189101","90027",2521,0.696994551817386,0.520923453333333,43.46,21.11,11.9949196,0.04978792,17,0.05,0.152599508227858,1,1
"06037188202","90027",2426,0.671788008033087,0.42410508,43.46,21.11,11.94592608,0.05067132,7.8,0.05,0.292669203417308,1,1
"06037270200","90034",3226,0.530767815954824,0.412708203333333,29.52,9.78,11.74486853,0.04632538,26,0.046,0.29281757811699,1,1
"06037270300","90034",2542,0.667166249105225,0.566228326666667,33.72,7.35,11.73778552,0.04632538,18,0.046,0.378360780081728,1,1
"06037271100","90064",2445,1.10303266424083,0.758404933333333,30.51,12.26,11.78318303,0.04716458,17.2,0.046,0.309869891616221,1,1
"06037141500","91436",2982,1.47360787998091,0.880341496666667,20.79,9.24,11.6681151,0.05685511,6.2,0.053,1.2871330917191,1,1
"06037271400","90066",3743,0.622905357710968,0.419370826666667,31.7,11.02,11.68678342,0.04632538,11,0.046,0.442707181080457,1,1
