Tract,ZIP,Population,CIscore,CIscoreP,Ozone,Ozone_Pctl,PM2_5,PM2_5_Pctl,Diesel_PM,Diesel_PM_,Pesticides,Pesticid_1,Tox_Releas,Tox_Rele_1,Traffic,Traffic_Pc,Drinking_W,DrinkingWa,Lead,Lead_Pctl,Cleanups,Cleanups_P,Groundwate,GW_Threats,Haz_Waste,Haz_Waste_,Imp_Water_,ImpWaterBo,Solid_Wast,Solid_Wa_1,Pollution,PollutionS,Pollution_,Asthma,Asthma_Pct,Low_Birth_,LowBirthW_,Cardiovasc,Cardiova_1,Education,Education_,Ling_Isol,Ling_Isol_,Poverty,Poverty_Pc,Unemployme,Unemploy_P,HousBurd,HousBurd_P,PopChar,PopCharSco,PopCharP,Child_10,Pop_10_64,Elderly_65,Hispanic,White,African_Am,Native_Ame,Asian_Amer,Pacific_Is,Other_Mult,Shape_Leng,Shape_Area,County,ApproxLoc,Shape__Area,Shape__Length,OBJECTID,From_Tract,FREQUENCY,MEAN_Total_Miles
06037131010,91335,6686,47.53,84.98,0.06,88.7,13.17,94.47,0.22,64.74,0,0,567.88,54.1,1049.15,61.11,726.64,83.13,59.69,65.36,1,17.08,5,30.88,0.46,66.09,3,33.16,0,0,52.45,6.4,76.65,72.56,80.27,4.64,42.2,19.4,85.57,26.3,75.32,27.7,94.37,42.8,73.2,4.4,36.44,29.3,89.38,71.54,7.42,82.19,12.64,80.05,7.31,57.57,21.81,2.02,0.03,15.85,0,2.72,4440.59,1063731.67,Los Angeles,Los Angeles,1559425,5378.92,249,6037131010,3,1.25
06037980004,93550,0,0,0,0.06,88.7,7.01,6.87,0.01,5.33,38.82,70.62,53126.47,99.91,769.94,41.99,0,0,0,0,0,0,5.25,31.51,2,92.52,0,0,0,0,43.09,5.26,51.8,69.91,78.51,0,0,11.74,44.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28368.89,45181746.8,Los Angeles,Palmdale,66890798.36,34513.12,2321,6037980004,3,2.26
06037980003,93535,0,0,0,0.06,88.7,6.46,4.85,0,0.01,0,0,1451.32,72.39,368.73,12.2,0,0,0,0,12,68.94,3,22.12,0,0,0,0,0,0,25.87,3.16,10.03,48.53,54.34,0,0,11.32,40.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83224.87,193153958.7,Los Angeles,Unincorporated Los Angeles County area,287070345.11,101365.73,2320,6037980003,3,10.24
06037930301,93563,796,0,0,0.07,97.1,10.67,53.11,0,0.45,0,0.1,464.11,50.13,46.98,0.25,805.62,94.06,32.67,27.51,12.4,69.82,6,35.02,0.1,16.64,4,43.78,0,0,37.91,4.63,37.13,23.43,13.63,0,0,7.07,7.94,15,55.34,4.1,32.03,0,0,0,0,0,0,0,0,0,2.39,78.39,19.22,23.24,56.03,8.17,0,1.76,0.75,10.05,190140.28,1032967143.78,Los Angeles,Unincorporated Los Angeles County area,1517412112.84,230404.16,2316,6037930301,3,4.99
06037408703,91748,6545,14.6,24.56,0.05,60.93,11.99,77.88,0.06,23.8,0.02,16.79,2674.64,83.43,2326.75,90.84,700.49,77.79,22.21,14.73,0,0,25,74.83,0.03,3.64,0,0,0,0,42.41,5.18,49.78,20.31,9.61,2.32,3.41,7.2,8.66,8.8,37.28,20.3,87.02,13,17.19,4.7,40.6,17.9,53.62,27.19,2.82,16.07,7,75.91,17.1,9.53,6.39,0.86,0,81.93,0,1.3,21409.77,17072278.04,Los Angeles,Rowland Heights,24878794.76,25822.57,1259,6037408703,3,1.26
06037910208,93551,6210,30.67,60.04,0.06,88.7,7.69,10.95,0.06,20.32,0,0,9113.27,96.91,1442.59,76.66,441.8,53.1,54.94,58.65,0,0,0,0,0.17,30.17,0,0,0,0,35.79,4.37,31.11,51.51,58.54,7.03,90.16,15.95,71.3,23.6,70.83,7.5,51.1,32.4,57.63,7.5,71.67,19,58.77,67.67,7.02,76.84,14.59,74.91,10.5,55.65,21.9,8.94,0,9.03,0,4.48,8132.77,3302673.41,Los Angeles,Palmdale,4885712.04,9895.27,2217,6037910208,3,1.25
06037910101,93552,1863,50.31,88.24,0.06,88.7,6.86,6.32,0.04,16.04,6.37,56.48,14068.86,98.77,404.67,14.45,434.39,50.69,81.49,90.6,7,50.32,0,0,1.71,91.61,0,0,0.5,22.08,46.11,5.63,59.86,96.61,91.69,6.82,87.97,19.3,85.29,43.9,92.75,9.9,61.54,60.3,91.85,13,94.31,24.8,79.57,86.16,8.94,97.33,22.71,70.1,7.19,72.73,7.09,16.26,0,1.88,0,2.04,42217.53,61398376.55,Los Angeles,Unincorporated Los Angeles County area,90854956.96,51326.46,2211,6037910101,3,3.15
06037901210,93532,1631,11.26,16.07,0.06,91.05,6.04,3.24,0,0.58,0,0,474.59,50.54,114.63,1.41,637.4,71.25,35.78,31.48,0,0,0,0,0,0,4,43.78,0,0,23.72,2.9,6.85,34.55,32.64,0,0,10.16,31.09,12.1,48.58,0,0,33.1,58.79,7.3,69.98,14.8,37.48,37.48,3.89,31.24,10.3,72.41,17.29,33.17,54.45,0.55,1.9,3.74,0,6.19,30468.8,23068433.33,Los Angeles,Unincorporated Los Angeles County area,34189183.05,37078.95,2207,6037901210,3,1.5
06037901008,93536,2744,25.53,49.94,0.06,88.7,7.52,9.74,0.17,55.61,0,0,2998.1,84.83,1141.68,66,441.8,53.1,35.54,31.2,0,0,0,0,0.31,51.73,0,0,0,0,35.88,4.38,31.41,58.02,66.8,5.29,59.56,11.92,45.31,13.7,52.32,4.4,33.94,31.2,55.69,7.6,72.53,19.6,61.25,56.19,5.83,59.87,11.37,78.61,10.02,36.73,36.7,13.3,0,9.26,0,4.01,6557.24,2686880.31,Los Angeles,Lancaster,3984268.74,7984.86,2199,6037901008,3,1.81
06037113303,91311,4191,32.46,63.24,0.06,91.05,11.47,60.41,0.15,51.15,0,0,908.92,62.29,857.6,48.39,726.64,83.13,53.67,56.74,40,93.41,26.85,76.67,5.08,97.84,0,0,2.2,54.85,59.28,7.24,89.87,52.13,59.07,4.27,32.97,16.53,74.03,9.5,40.07,2.4,18.91,17.4,28.17,5.6,52.52,10.5,15.86,43.23,4.48,39.99,10.02,69.36,20.62,26.91,58.08,1.57,0.38,10.95,0,2.1,9455.36,4079639.28,Los Angeles,Los Angeles,5984523.38,11442.58,98,6037113303,3,1.33
