file,description,source_url,retrieved,bytes,sha256
parks_recreational_spaces.geojson,"Los Angeles County Department of Public Health, Recreational Spaces (ArcGIS Feature Service; item created 2024-01-13; data last edited 2024-01-13); all 2,509 features queried as GeoJSON",https://services.arcgis.com/RmCCgQtiZLDCtblq/arcgis/rest/services/Recreational_Spaces/FeatureServer/0,2026-09-11,19052866,679c6b579b4dedcb6c174290941702e79fa8111b23dd1371834341bebca14aed
pna2016_parks_open_space.geojson,"Los Angeles County 2016 Park Needs Assessment, Parks and Open Space inventory (data last edited 2016-08-05); 3,035 features",https://services.arcgis.com/RmCCgQtiZLDCtblq/arcgis/rest/services/LA_PARKS_ParksAndOpenSpace/FeatureServer/0,2026-09-11,23866917,a4bdd01a567733f39576249db6e8dd440e29c9fe3227e4cae15130fd0452e313
pna2016_walkshed_halfmile.geojson,Half-mile walksheds of parks as calculated for the 2016 Park Needs Assessment (Walkability Network Dataset for LA County); 269 features,https://services6.arcgis.com/FyuuHO4sqcgu4Cm1/arcgis/rest/services/PNA2016_Park_0_5mi_Walkshed/FeatureServer/0,2026-09-11,13583982,a65524bfe94ed352ea5b32ff5fd880ddf58110d84fa59cafb2eb728b9e19e39d
cenpop2010_tr06.txt,"U.S. Census Bureau, 2010 Census centers of population by census tract, California",https://www2.census.gov/geo/docs/reference/cenpop2010/tract/CenPop2010_Mean_TR06.txt,2026-09-11,338339,988b7a76410a8299d8ebd971b71aea2bd4639a647ce724247507d679d57e820c
ces40_results_datadictionary.xlsx,"OEHHA, CalEnviroScreen 4.0 results and data dictionary (October 2021)",https://data.ca.gov/dataset/11eb2b90-f3c1-46b4-bdf2-ba1dab939dac/resource/9a90474a-3912-4955-9552-457ee41cea51/download/calenviroscreen40resultsdatadictionary_f_2021.xlsx,2026-09-11,6580631,03f88d03e2fce5a04191dc65f2793e1dd8bf312b8d67a41e99ccf209b62b2f68
ces30_results_june2018.csv,"OEHHA, CalEnviroScreen 3.0 results (June 2018 update)",https://data.ca.gov/dataset/0bd5f40b-c59b-4183-be22-d057eae8383c/resource/89b3f4e9-0bf8-4690-8c6f-715a717f3fae/download/calenviroscreen-3.0-results-june-2018-update.csv,2026-09-11,2671645,470c2cde2d345efe5fa8720ce7e3ccfb30eab9702d46b3f5b1817edc4ec35926
cdph_asthma_zip_allages.xls,"California Department of Public Health, Asthma ED Visit Rates by ZIP Code 2013-present (CHHS Open Data)",https://data.chhs.ca.gov/dataset/34f3464e-b2eb-4f74-9ef9-f378711aa0f5/resource/5b9309d9-5680-4970-85a6-804cce466040/download/asthmaedvisitrates-by-zipcode-allages-2013to2023-ca-cdph_with-county.xls,2026-09-11,3153920,9197186e5b0b31b9421354d3b333f204a8ab40a148adea8e778cc7fd0a428e91
cdph_asthma_zip_notes.pdf,CDPH notes for the ZIP-code asthma ED table (reference only; not read by the scripts),https://data.chhs.ca.gov/dataset/34f3464e-b2eb-4f74-9ef9-f378711aa0f5/resource/ef11aedd-b918-41e3-b049-a9377405b42a/download/asthma-ed-visits-by-zip-code.pdf,2026-09-11,46123,96c32884ce913d80fe7c35685d2be1b14651d9cf57b054303bbb0ddc0057efa1
cdph_asthma_county_2015_2023.csv,"CDPH, Asthma ED Visit Rates by County 2015-present (reference only; not read by the scripts)",https://data.chhs.ca.gov/dataset/34f3464e-b2eb-4f74-9ef9-f378711aa0f5/resource/94d84508-8046-40a7-b8d9-0ed73b13b697/download/asthma-emergency-department-visit-rates-by-county-2015_2023.csv,2026-09-11,479808,f311f392dc42dca0a2806afff4b47065a1739a774de8b9d30586c76939154197
zcta_tract_rel_10.txt,"U.S. Census Bureau, 2010 ZCTA-to-census-tract relationship file",https://www2.census.gov/geo/docs/maps-data/data/rel/zcta_tract_rel_10.txt,2026-09-11,23013454,668a790081a467f1c1a1f4e47c1d41aadd33600b99bdbef8abf6d4dd2ba0d37f
tl_2010_06_zcta510.zip,"U.S. Census Bureau, TIGER/Line 2010 ZCTA polygons, California",https://www2.census.gov/geo/tiger/TIGER2010/ZCTA5/2010/tl_2010_06_zcta510.zip,2026-09-11,30352954,8b91243d8ca2882adb2ac77b2b16f3e9f5ab6092e8117843b695d64dbdde26e3
20195ca0131000.zip,"U.S. Census Bureau, ACS 2015-2019 5-year summary file, California, sequence 131 (tracts and block groups; contains table B27001, health insurance coverage by age)",https://www2.census.gov/programs-surveys/acs/summary_file/2019/data/5_year_seq_by_state/California/Tracts_Block_Groups_Only/20195ca0131000.zip,2026-09-12,3804377,4f47b4174b1cbf54da62eaa551e3e4a8c8dd261e43a0f05c05c4bef0d96e1d16
g20195ca.csv,"U.S. Census Bureau, ACS 2015-2019 5-year summary file geography file, California (tracts and block groups)",https://www2.census.gov/programs-surveys/acs/summary_file/2019/data/5_year_seq_by_state/California/Tracts_Block_Groups_Only/g20195ca.csv,2026-09-12,6563959,486367b1637b8243a5aa64dbbdd4936d0dbeecfcc1f096d350d6516bb83af4f5
tl_2016_06037_edges.zip,"U.S. Census Bureau, TIGER/Line 2016 All Lines (edges) shapefile for Los Angeles County, California; the road network used for the street-network distances (the Census server rejects the default curl user agent; download with a browser or with a browser user-agent string)",https://www2.census.gov/geo/tiger/TIGER2016/EDGES/tl_2016_06037_edges.zip,2026-09-17,51905685,cd43dbdb05b818000a3585b829e5df9e329e638db67bf85561445aa988785535
