"Tract","pct_uninsured"
"06037101110",10.8468
"06037101122",6
"06037101210",10.3841
"06037101220",9.2923
"06037101300",5.5223
"06037101400",2.6316
"06037102103",4.7079
"06037102104",4.703
"06037102105",6.5617
"06037102107",1.6769
"06037103101",3.0066
"06037103102",8.4495
"06037103200",4.9462
"06037103300",2.539
"06037103400",4.6468
"06037104103",5.1106
"06037104105",8.4407
"06037104108",7.5654
"06037104124",7.919
"06037104201",12.8037
"06037104203",17.0373
"06037104204",10.3062
"06037104310",14.5506
"06037104320",11.9048
"06037104401",14.526
"06037104403",15.4145
"06037104404",14.5266
"06037104500",12.8968
"06037104610",14.117
"06037104620",11.4512
"06037104701",8.8823
"06037104703",14.8114
"06037104704",9.6043
"06037104810",16.2671
"06037104821",16.8685
"06037104822",16.1677
"06037106010",6.6279
"06037106020",14.6125
"06037106111",6.7048
"06037106112",4.1964
"06037106113",9.9444
"06037106114",9.0291
"06037106403",9.5446
"06037106405",8.7222
"06037106406",7.0299
"06037106407",11.2551
"06037106408",14.5003
"06037106510",7.6541
"06037106520",16.25
"06037106603",3.1949
"06037106604",9.4504
"06037106641",5.8179
"06037106642",4.4008
"06037106643",1.3546
"06037106645",5.8904
"06037106646",4.2643
"06037106648",9.4369
"06037106649",7.2153
"06037107010",8.3627
"06037107020",7.0717
"06037108101",3.7817
"06037108102",2.2009
"06037108103",0.9035
"06037108104",3.5204
"06037108201",4.4872
"06037108202",3.2189
"06037109100",3.9051
"06037109200",2.9866
"06037109300",6.6667
"06037109400",6.2372
"06037109500",5.1738
"06037109601",10.2528
"06037109603",11.7524
"06037109604",7.9186
"06037109700",8.79
"06037109800",10.0525
"06037111100",6.6373
"06037111201",12.2579
"06037111202",4.4699
"06037111204",2.6169
"06037111205",4.2388
"06037111206",5.38
"06037111301",8.5089
"06037111302",5.7501
"06037111400",9.5299
"06037113101",6.3492
"06037113102",1.1303
"06037113211",0.861
"06037113212",5.1153
"06037113213",3.2851
"06037113231",5.2106
"06037113232",5.3958
"06037113233",11.4091
"06037113234",5.536
"06037113235",4.6601
"06037113237",5.484
"06037113301",5.0072
"06037113303",2.136
"06037113321",5.1282
"06037113322",3.5235
"06037113401",9.0002
"06037113421",16.4123
"06037113422",5.249
"06037115101",10.8204
"06037115103",6.7731
"06037115104",6.6484
"06037115201",4.8569
"06037115202",8.7707
"06037115301",4.929
"06037115302",15.1125
"06037115401",10.419
"06037115403",16.4666
"06037115404",11.1111
"06037117101",9.4755
"06037117102",11.4536
"06037117201",12.1422
"06037117202",8.2118
"06037117301",5.2118
"06037117302",5.9736
"06037117303",3.5008
"06037117404",8.1936
"06037117405",17.1237
"06037117407",19.9948
"06037117408",18.4185
"06037117510",16.409
"06037117520",17.0649
"06037117530",11.8956
"06037119001",15.8691
"06037119002",11.2086
"06037119201",12.9096
"06037119202",9.897
"06037119310",11.359
"06037119320",13.2491
"06037119340",19.6764
"06037119341",15.3633
"06037119342",11.989
"06037119400",21.0584
"06037119700",8.4877
"06037119800",14.4228
"06037119900",11.831
