"zip","years","visits_2015_2017","mean_age_adj_rate"
"90001",3,1254,68.4666666666667
"90002",3,1463,88.3666666666667
"90003",3,2129,97.4666666666667
"90004",3,833,48.0333333333333
"90005",3,384,31.1666666666667
"90006",3,793,44.1
"90007",3,507,49.8666666666667
"90008",3,1020,108.533333333333
"90011",3,2041,60.3333333333333
"90012",3,219,25.9
"90013",3,394,91.5666666666667
"90014",3,189,64.5333333333333
"90015",3,407,72.7666666666667
"90016",3,1149,80.5666666666667
"90017",3,551,71.3
"90018",3,1139,72.1
"90019",3,1076,56.3666666666667
"90020",3,404,47.2
"90021",3,134,118.333333333333
"90022",3,1253,60.2
"90023",3,920,62.3333333333333
"90024",3,197,21.2
"90025",3,227,18.8666666666667
"90026",3,902,47.7666666666667
"90027",3,434,36.5333333333333
"90028",3,481,68.5666666666667
"90029",3,650,56.4333333333333
"90031",3,575,47.8666666666667
"90032",3,718,51.6666666666667
"90033",3,1024,67.7
"90034",3,471,29.4333333333333
"90035",3,210,24.9
"90036",3,284,27.1
"90037",3,1653,83.9
"90038",3,409,49
"90039",3,316,37.7
"90040",3,205,51.3666666666667
"90041",3,256,31.3666666666667
"90042",3,724,39.0333333333333
"90043",3,1560,122
"90044",3,2979,101.8
"90045",3,243,22.7666666666667
"90046",3,279,22.9666666666667
"90047",3,1748,115.366666666667
"90048",3,131,22.6333333333333
"90049",3,120,11.4
"90056",3,127,74.5666666666667
"90057",3,800,62.0666666666667
"90058",3,117,91.1333333333333
"90059",3,1581,114.666666666667
"90061",3,1044,116.333333333333
"90062",3,1019,104.066666666667
"90063",3,829,46.6
"90064",3,186,24.6333333333333
"90065",3,720,52.0333333333333
"90066",3,442,28.6
"90068",3,103,17.6
"90069",3,103,17.1
"90094",3,49,28.1
"90201",3,1436,45.3666666666667
"90210",3,91,14.9
"90211",3,81,31.1333333333333
"90212",3,91,25.2666666666667
"90220",3,1562,99.7
"90221",3,1381,78.6666666666667
"90222",3,1095,107.433333333333
"90230",3,364,39.2
"90232",3,160,36.5333333333333
"90240",3,262,34.0333333333333
"90241",3,554,42.2333333333333
"90242",3,557,41.6
"90245",3,84,19.9
"90247",3,1008,71.8
"90248",3,136,46.0666666666667
"90249",3,548,67.6333333333333
"90250",3,1855,62.4666666666667
"90254",3,70,12.4333333333333
"90255",3,1177,51.5666666666667
"90260",3,584,54.8666666666667
"90262",3,1261,56.3666666666667
"90265",3,58,10.9
"90266",3,106,10.5666666666667
"90270",3,385,46.3666666666667
"90272",3,64,10.0666666666667
"90274",3,91,11.5
"90275",3,129,13.0666666666667
"90277",3,159,17
"90278",3,286,23.9333333333333
"90280",3,1279,44.5
"90291",3,228,31.7
"90292",3,144,22.3
"90293",3,59,23.2
"90301",3,934,79.5333333333333
"90302",3,679,73.3
"90303",3,611,79.5666666666667
"90304",3,451,48.7
"90305",3,309,87.6
"90401",3,121,62.0333333333333
"90402",2,27,12.2
"90403",3,131,17.9333333333333
"90404",3,319,50.5333333333333
"90405",3,196,27.8666666666667
"90501",3,654,50.4
"90502",3,250,48.1666666666667
"90503",3,284,22.6
"90504",3,258,29.2
"90505",3,249,25.1
"90601",3,407,46.4666666666667
"90602",3,503,65.1666666666667
"90603",3,218,36.1333333333333
"90604",3,538,44
"90605",3,603,49.2
"90606",3,477,48.6
"90638",3,422,30.2
"90640",3,875,46.7666666666667
"90650",3,1499,46.3
"90660",3,936,48.8666666666667
"90670",3,203,44.9666666666667
"90701",3,154,33.1333333333333
"90703",3,420,32.9
"90704",3,39,32.7
"90706",3,1182,49.6333333333333
"90710",3,379,49.6333333333333
"90712",3,1184,142
"90713",3,225,28.3333333333333
"90715",3,268,42.8666666666667
"90716",3,207,45.7333333333333
"90717",3,281,45.8
"90723",3,864,50.2666666666667
"90731",3,1548,83.9333333333333
"90732",3,187,33.7666666666667
"90744",3,1069,62.0333333333333
"90745",3,915,54.8
"90746",3,533,80.3666666666667
"90755",3,133,38.5666666666667
"90802",3,775,64.6666666666667
"90803",3,138,15.5666666666667
"90804",3,925,77.6333333333333
"90805",3,2283,77.0666666666667
"90806",3,1115,83.7666666666667
"90807",3,389,42.7
"90808",3,257,24.0333333333333
"90810",3,732,64.5666666666667
"90813",3,1983,109.433333333333
"90814",3,174,35.6333333333333
"90815",3,222,19.5666666666667
"91001",3,379,37.1333333333333
"91006",3,171,19.4
"91007",3,149,17.6
"91010",3,351,46.5666666666667
"91011",3,77,15.3333333333333
"91016",3,472,40.6666666666667
"91020",3,51,22.1666666666667
"91024",2,45,22.1
"91030",3,139,20.0666666666667
"91040",3,239,41.6
"91042",3,197,25.5333333333333
"91101",3,129,26.2
"91103",3,387,45
"91104",3,369,34.6666666666667
"91105",3,72,22.3333333333333
"91106",3,147,22.2
"91107",3,214,23.5333333333333
"91108",1,12,10.1
"91201",3,181,28.8333333333333
"91202",3,167,25.3
"91203",3,137,31.5333333333333
"91204",3,269,55.2
"91205",3,513,46.7
"91206",3,302,31.4333333333333
"91207",3,47,17.7
"91208",3,97,23.2666666666667
"91214",3,200,25.7333333333333
"91301",3,104,14.8
"91302",3,155,21.2666666666667
"91303",3,609,71.3
"91304",3,831,56.7
"91306",3,921,68.4666666666667
"91307",3,262,38.4
"91311",3,447,44.8
"91316",3,430,58.1333333333333
"91321",3,430,39.7333333333333
"91324",3,498,63.2666666666667
"91325",3,478,51.0666666666667
"91326",3,227,23.3333333333333
"91331",3,2213,68.1666666666667
"91335",3,1509,66.9333333333333
"91340",3,772,68.3666666666667
"91342",3,1482,52.0666666666667
"91343",3,1306,70.5333333333333
"91344",3,611,42.5333333333333
"91345",3,298,54.0333333333333
"91350",3,279,25.5333333333333
"91351",3,448,47.4333333333333
"91352",3,907,61.0333333333333
"91354",3,205,22
"91355",3,259,25.8666666666667
"91356",3,394,46.3
"91364",3,208,27.6
"91367",3,370,30.3333333333333
"91381",3,97,16.6666666666667
"91384",3,202,25.6333333333333
"91387",3,564,42.8333333333333
"91390",3,107,18.8333333333333
"91401",3,619,49.9666666666667
"91402",3,1744,77.4
"91403",3,216,33.3333333333333
"91405",3,1384,90
"91406",3,1015,63.3666666666667
"91411",3,458,60.5333333333333
"91423",3,228,26.6
"91436",3,93,23.2
"91501",3,171,27.6333333333333
"91502",3,106,35.0666666666667
"91504",3,240,34.9
"91505",3,255,28.9
"91506",3,164,30.6666666666667
"91601",3,574,52.2333333333333
"91602",3,128,27.8
"91604",3,168,20.2333333333333
"91605",3,1104,64.9333333333333
"91606",3,782,60.0333333333333
"91607",3,291,34.2333333333333
"91702",3,1112,58.9666666666667
"91706",3,1292,55.8666666666667
"91711",3,266,29.0333333333333
"91722",3,509,46.3333333333333
"91723",3,328,57.8666666666667
"91724",3,306,39.9666666666667
"91731",3,458,51.6
"91732",3,1180,59.9333333333333
"91733",3,747,52.4
"91740",3,337,46.1333333333333
"91741",3,240,33.9333333333333
"91744",3,1546,60.2
"91745",3,568,37.9666666666667
"91746",3,379,39.3
"91748",3,290,22.1666666666667
"91750",3,313,33.6333333333333
"91754",3,293,32.9333333333333
"91755",3,156,22.4666666666667
"91765",3,290,23.0333333333333
"91766",3,1391,60.2
"91767",3,1078,72.3333333333333
"91768",3,667,67.8666666666667
"91770",3,609,33.7333333333333
"91773",3,357,37.5333333333333
"91775",3,142,20.3333333333333
"91776",3,365,35
"91780",3,237,24.9333333333333
"91789",3,254,22.2333333333333
"91790",3,685,49.6333333333333
"91791",3,357,36.6333333333333
"91792",3,355,39.7
"91801",3,477,32.6
"91803",3,257,30.7333333333333
"93510",3,72,36.4333333333333
"93532",1,17,85.2
"93534",3,1607,131.633333333333
"93535",3,3006,128.4
"93536",3,1064,49.5
"93543",3,324,83.5
"93550",3,2516,101.433333333333
"93551",3,650,42.2666666666667
"93552",3,818,65.3666666666667
"93591",3,232,105.2
