"GEOID","ozone_ces3"
"06037204920",0.046
"06037206050",0.046
"06037205120",0.046
"06037291220",0.044
"06037239202",0.046
"06037226002",0.046
"06037535400",0.044
"06037243100",0.044
"06037543305",0.042
"06037204600",0.046
"06037227010",0.046
"06037206032",0.046
"06037226001",0.046
"06037239501",0.046
"06037203100",0.046
"06037530700",0.046
"06037301601",0.053
"06037185320",0.046
"06037543202",0.042
"06037531302",0.046
"06037402801",0.057
"06037532304",0.046
"06037205110",0.046
"06037570502",0.042
"06037291210",0.044
"06037219901",0.046
"06037534202",0.046
"06037540400",0.044
"06037242100",0.044
"06037203500",0.046
"06037302401",0.051
"06037204820",0.046
"06037532302",0.046
"06037229420",0.046
"06037541001",0.044
"06037534302",0.046
"06037239701",0.046
"06037570301",0.042
"06037128302",0.055
"06037242700",0.044
"06037533001",0.046
"06037121222",0.055
"06037532800",0.046
"06037239601",0.046
"06037575401",0.042
"06037534201",0.046
"06037122410",0.055
"06037239702",0.046
"06037572800",0.042
"06037228100",0.046
"06037292000",0.042
"06037434001",0.05
"06037122122",0.055
"06037242600",0.044
"06037228900",0.046
"06037433302",0.05
"06037402304",0.057
"06037122420",0.055
"06037536103",0.044
"06037199700",0.046
"06037219902",0.046
"06037206300",0.046
"06037123206",0.055
"06037540901",0.044
"06037532603",0.046
"06037239502",0.046
"06037553601",0.044
"06037402804",0.057
"06037534301",0.046
"06037206200",0.046
"06037432801",0.05
"06037601600",0.044
"06037229410",0.046
"06037601401",0.046
"06037239602",0.046
"06037127400",0.057
"06037302302",0.051
"06037228800",0.046
"06037533002",0.046
"06037543100",0.042
"06037575801",0.042
"06037532900",0.046
"06037291130",0.044
"06037553701",0.044
"06037535101",0.046
"06037535200",0.044
"06037203300",0.046
"06037404703",0.051
"06037242200",0.044
"06037535603",0.044
"06037570202",0.042
"06037541604",0.044
"06037535300",0.044
"06037123304",0.055
"06037536102",0.044
"06037237202",0.046
"06037542502",0.044
"06037127104",0.055
"06037433901",0.05
"06037302505",0.05
"06037188100",0.051
"06037240500",0.044
"06037602509",0.044
"06037239320",0.046
"06037542601",0.044
"06037122121",0.055
"06037219800",0.046
"06037541603",0.044
"06037402303",0.057
"06037433801",0.048
"06037601502",0.044
"06037121020",0.055
"06037572301",0.042
"06037204700",0.046
"06037535606",0.044
"06037239330",0.046
"06037122000",0.055
"06037534101",0.046
"06037602801",0.044
"06037532303",0.046
"06037123010",0.055
"06037296210",0.042
"06037124103",0.055
"06037104703",0.055
"06037239310",0.046
"06037575802",0.042
"06037541002",0.042
"06037229300",0.046
"06037602600",0.044
"06037570402",0.042
"06037224010",0.046
"06037294620",0.042
"06037294900",0.042
"06037294830",0.042
"06037541100",0.044
"06037533806",0.046
"06037542402",0.042
"06037208000",0.046
"06037229100",0.046
"06037301602",0.053
"06037533901",0.046
"06037541400",0.044
"06037534102",0.046
"06037573201",0.042
"06037531301",0.046
"06037553702",0.044
"06037536104",0.044
"06037535001",0.046
"06037543000",0.044
"06037404802",0.051
"06037542401",0.044
"06037199000",0.046
"06037187102",0.048
"06037553801",0.044
"06037232500",0.046
"06037404702",0.051
"06037241001",0.044
"06037402702",0.057
"06037240200",0.046
"06037530902",0.046
"06037602002",0.044
"06037433102",0.05
"06037550000",0.046
"06037540000",0.044
"06037220100",0.046
"06037540700",0.044
"06037404701",0.051
"06037531602",0.046
"06037204910",0.046
"06037543400",0.042
"06037239801",0.046
"06037553802",0.044
"06037530500",0.046
"06037408800",0.057
"06037297110",0.042
"06037530601",0.048
"06037541500",0.044
"06037572500",0.042
"06037104310",0.057
"06037241120",0.044
"06037242300",0.044
"06037122200",0.055
"06037543801",0.042
"06037231720",0.046
"06037191810",0.05
