"GEOID","population","asthma","ami","poverty","pm25","ozone","child_10","elderly_65"
"06037204920",2751,76.1,20.87,62.6,12.25164028,0.04791979,13.34,14.07
"06037542402",3306,86.77,22.2,43.5,12.25258001,0.04259906,11.34,11.13
"06037543202",5124,114.33,18.18,56.8,12.21666021,0.04192559,18.6,8.92
"06037203300",2000,65.53,13.45,71.7,12.57687534,0.04939042,7.7,7.8
"06037291220",3640,64.77,12.99,51.5,12.0660607,0.04125212,12.77,14.07
"06037433501",1949,65.92,16.69,61.1,12.00416809,0.05462941,10.98,13.6
"06037243100",6772,129.2,26.48,73.5,12.0902374,0.0438112,22.65,6.5
"06037227010",5705,68.48,21.83,68.6,12.09940492,0.04632538,19.16,5.61
"06037226001",2615,72.02,13.67,71.9,12.15802236,0.04632538,24.21,4.89
"06037433101",2464,60.57,15.27,43.5,11.94103408,0.05605125,7.47,22.65
"06037239202",5999,84.75,21.32,57.5,12.14495497,0.04490202,16.87,3.65
"06037206050",2031,51.49,12.45,58.9,12.41537427,0.04753555,8.91,27.42
"06037205120",3548,76.1,20.87,82.3,12.27407804,0.04716458,15.14,8.74
"06037226002",1820,134.16,14.79,44.5,12.25156535,0.04716458,4.34,5.71
"06037536104",3900,50.83,17.7,40.1,12.04869771,0.04539285,16.74,10.05
"06037104703",2174,77.81,12.79,63.4,11.2284956,0.06718273,20.75,6.12
"06037240500",7326,113.88,27.88,63.7,12.0998549,0.0438112,17.13,6.28
"06037535400",3553,101.27,25.19,53.4,12.07139901,0.04435661,13.2,6.33
"06037291210",5768,70.46,13.6,44.3,12.06226955,0.04192559,15.36,11.17
"06037570403",4832,84.23,18.48,57.6,12.4277485,0.04259906,25.17,3.95
"06037532302",4881,56.57,18.99,50.1,12.15074524,0.0482775,15.35,12.7
"06037542200",7155,92.82,23.89,54.7,12.21728053,0.04259906,15.16,9.07
"06037534202",5748,54.25,23.93,80.1,12.02968272,0.04632538,13.8,8.32
"06037531302",6215,62.39,17.48,56.4,12.21812171,0.0482775,16.96,7.3
"06037242600",4756,136.47,27.86,86.9,12.0688233,0.0438112,21.64,3.95
"06037242700",6035,110.5,23.51,66.5,12.07407493,0.0438112,17.76,5.65
"06037206032",5687,79.94,16.72,66.8,12.55763366,0.04791979,14.16,16.11
"06037542401",4735,95.67,24.68,54.8,12.15347903,0.04259906,11.76,10.77
"06037203500",2907,81.13,16.94,65.4,12.84192716,0.04863521,11.66,12.97
"06037239201",3753,113.88,27.88,52.7,12.05259566,0.04490202,18.28,4.88
"06037219902",3809,88.26,15.22,46.1,11.84882762,0.04588368,6.17,9.9
"06037534201",4768,54.25,23.93,61.9,12.02968272,0.04632538,20.62,7.21
"06037540700",3230,120.42,24.35,61.4,12.09535727,0.04320513,15.42,7.89
"06037540901",4904,121.6,19.26,45.9,12.11292708,0.04259906,11.95,16.11
"06037533806",3794,54.25,23.93,55.4,12.04351864,0.04632538,17.03,8.28
"06037534102",6219,54.25,23.93,61.5,12.02588499,0.04716458,20.53,6.14
"06037127400",6558,77.98,19.65,48.6,12.29587676,0.06350576,19.73,5.93
"06037570301",7273,94.42,20.48,56.9,12.50092519,0.04259906,18.6,4.84
"06037534301",4320,43.15,18.75,47.1,12.06526369,0.04588368,16,8.5
"06037294701",3099,76.33,21.61,58.9,11.73680492,0.03892377,17.59,8.71
"06037239330",2458,113.45,27.79,61.2,12.14625901,0.04490202,15.66,6.83
"06037570402",3400,88.49,19.32,37.7,12.78098946,0.04192559,16.79,11.09
"06037239702",4334,113.88,27.88,68.1,12.116733,0.0438112,12.87,6.48
