"GEOID","recorded_dist3_miles","centroid_x","centroid_y","popcentroid_x","popcentroid_y","dist3_planar","dist3_geodesic","dist1_planar","dist3_popcentroid","dist1_popcentroid","acres_0p5mi","acres_1mi","dist3_pna2016","walkshed2016_share","popcentroid_in_walkshed2016"
"06037920336",0.424873293333333,134537.136801957,-402412.0665406,134558.184123261,-402295.235733273,0.425990612334626,0.425797013169401,0.11570515774016,0.414968311478078,0.0963745742210902,14.2796678572298,166.420882839505,0.395300271306707,0.748027533302016,1
"06037920044",0.536438136666667,136298.672516631,-395825.944051883,136361.78413929,-395743.64237272,0.537904848706846,0.537982707991082,0.326049688301989,0.568150510883809,0.389086048677761,0.822096260580677,110.559617938264,0.304267091618601,0.150216480769192,0
"06037573003",0.164194603333333,166506.932380769,-467488.738166235,166545.781152337,-467527.53069762,0.164616902907823,0.164573999839184,0.16077014800093,0.167642463944639,0.139370831090851,3.84131471161206,31.267492065393,0.164616927580386,0.666189406290227,1
"06037571704",0.239732646666667,167794.360016414,-461205.712030864,167779.514965609,-461238.935884211,0.240083119781743,0.240411367012767,0.167750370745678,0.242101899379216,0.176905423106756,22.0399503927994,73.2447085009716,0.24908327108718,1,1
"06037570403",0.51126653,166123.21431015,-458141.98276836,166139.77604434,-458134.947265578,0.51269502026402,0.512254820511185,0.321271059933062,0.508963305844855,0.326832698207186,3.58027799668156,25.3770324832069,0.615538200725303,0.0358264428994683,0
"06037553503",0.35415158,170707.995554915,-454149.240013358,170725.924623572,-454108.845955906,0.354736525967967,0.355048499087525,0.0148070424446274,0.364004648121512,0.0140276373001827,6.77645092168253,49.5412779405785,0.354736516004708,1,1
"06037552302",0.34310727,179634.892880098,-454695.544043033,179503.641493386,-454739.782847534,0.34425211288092,0.344080881549571,0,0.353016375526684,0.0670591912123886,20.6767167479787,42.7663831812451,0.344132839516895,0.344218149331824,0
"06037503104",0.74352203,181009.643487154,-453162.843857973,180969.205759793,-453115.293138532,0.745287188103044,0.745666689575604,0.627329895509122,0.744606234770874,0.649935903819672,0,24.2658125758862,0.743546802574601,0.106402961656189,0
"06037550602",0.777861093333333,173551.592800552,-449424.838004629,173546.732064199,-449390.930128348,0.779840201955609,0.779311290357498,0.56739560835737,0.773750765942762,0.568494070744499,0,20.2329347604837,0.779840193460383,0.118702179591207,0
"06037550601",0.69305104,174016.511698264,-448622.479820575,174069.363815794,-448580.358466831,0.694859975582685,0.695132564789451,0.491890107267932,0.698929798057546,0.49342562526026,0.176476088275984,18.986832381735,0.69485997661384,0.311328797096288,0
"06037550202",0.430081463333333,176646.554011664,-453119.540664191,176657.279346972,-453132.918550493,0.430928504618014,0.43094632720473,0.281016415720582,0.429138078771173,0.273772987013179,7.48833008479133,30.3484292568138,0.432190845305125,0.613285185771146,1
"06037550201",0.40650217,177154.583471757,-452324.941204738,177175.690063257,-452367.316547271,0.407390558623169,0.40831138916839,0.272144264450981,0.413474506185503,0.28995439966567,18.8888262849575,52.2021105997258,0.408172566319774,0.60840803305063,1
