"ZCTA5","GEOID","POPPT","ZPOP","ZPOPPCT"
"90001","06037239202",4,57110,0.01
"90001","06037239330",6,57110,0.01
"90001","06037239501",2489,57110,4.36
"90001","06037239502",2730,57110,4.78
"90001","06037239801",2172,57110,3.8
"90001","06037239802",3234,57110,5.66
"90001","06037240010",44,57110,0.08
"90001","06037532700",2990,57110,5.24
"90001","06037532800",4409,57110,7.72
"90001","06037532900",6681,57110,11.7
"90001","06037533001",4527,57110,7.93
"90001","06037533002",2822,57110,4.94
"90001","06037534900",5563,57110,9.74
"90001","06037535001",4325,57110,7.57
"90001","06037535002",3681,57110,6.45
"90001","06037535101",7306,57110,12.79
"90001","06037535102",797,57110,1.4
"90001","06037535300",3330,57110,5.83
"90002","06037240010",2756,51223,5.38
"90002","06037240020",3066,51223,5.99
"90002","06037240700",6073,51223,11.86
"90002","06037240800",2139,51223,4.18
"90002","06037242000",2397,51223,4.68
"90002","06037242100",2714,51223,5.3
"90002","06037242200",6554,51223,12.8
"90002","06037242300",4586,51223,8.95
"90002","06037242700",1237,51223,2.41
"90002","06037243000",3892,51223,7.6
"90002","06037535102",3720,51223,7.26
"90002","06037535200",5820,51223,11.36
"90002","06037535300",2763,51223,5.39
"90002","06037535400",3495,51223,6.82
"90002","06037540300",11,51223,0.02
"90003","06037237102",630,66266,0.95
"90003","06037237600",834,66266,1.26
"90003","06037237710",334,66266,0.5
"90003","06037237720",549,66266,0.83
"90003","06037238310",404,66266,0.61
"90003","06037238320",260,66266,0.39
"90003","06037239201",3562,66266,5.38
"90003","06037239202",4671,66266,7.05
"90003","06037239310",3996,66266,6.03
"90003","06037239320",3444,66266,5.2
"90003","06037239330",2873,66266,4.34
"90003","06037239501",965,66266,1.46
"90003","06037239502",642,66266,0.97
"90003","06037239601",3755,66266,5.67
"90003","06037239602",3313,66266,5
"90003","06037239701",4261,66266,6.43
"90003","06037239702",3927,66266,5.93
"90003","06037239801",1240,66266,1.87
"90003","06037239802",1668,66266,2.52
"90003","06037240010",873,66266,1.32
"90003","06037240020",1989,66266,3
"90003","06037240200",5252,66266,7.93
"90003","06037240300",723,66266,1.09
"90003","06037240401",697,66266,1.05
"90003","06037240402",934,66266,1.41
"90003","06037240500",5655,66266,8.53
"90003","06037240600",4932,66266,7.44
"90003","06037240700",88,66266,0.13
"90003","06037240800",1161,66266,1.75
"90003","06037241110",913,66266,1.38
"90003","06037241120",1205,66266,1.82
"90003","06037241201",516,66266,0.78
"90004","06037191902",371,62180,0.6
"90004","06037192300",2585,62180,4.16
"90004","06037192410",3628,62180,5.83
"90004","06037192420",3637,62180,5.85
"90004","06037192510",3670,62180,5.9
"90004","06037192520",5067,62180,8.15
"90004","06037192610",4386,62180,7.05
"90004","06037192620",3868,62180,6.22
"90004","06037192700",3513,62180,5.65
"90004","06037195903",215,62180,0.35
"90004","06037208610",512,62180,0.82
"90004","06037211000",1346,62180,2.16
"90004","06037211121",2351,62180,3.78
"90004","06037211122",3028,62180,4.87
"90004","06037211201",2645,62180,4.25
